Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
142.00,+2.46%,1.76,3.18,4.60,5.05,0.03,+0.60%,1,5,0.20,35.19%,Put,02/12/21
143.00,+3.18%,2.20,3.78,5.35,0.00,0.00,unch,0,0,0.00,35.38%,Put,N/A
144.00,+3.90%,3.10,5.53,7.95,6.60,-1.29,-16.35%,1,1,1.00,19.59%,Put,02/11/21
145.00,+4.63%,3.50,5.40,7.30,0.00,0.00,unch,0,0,0.00,42.41%,Put,N/A
146.00,+5.35%,5.00,7.23,9.45,0.00,0.00,unch,0,0,0.00,66.81%,Put,N/A
147.00,+6.07%,6.00,8.23,10.45,10.05,10.05,unch,2,1,2.00,71.00%,Put,02/11/21
148.00,+6.79%,7.00,9.30,11.60,0.00,0.00,unch,0,0,0.00,77.64%,Put,N/A
149.00,+7.51%,8.10,10.43,12.75,20.95,20.95,unch,5,5,1.00,84.22%,Put,01/15/21
150.00,+8.23%,9.10,11.43,13.75,0.00,0.00,unch,0,0,0.00,88.17%,Put,N/A
155.00,+11.84%,14.00,16.40,18.80,0.00,0.00,unch,0,0,0.00,107.54%,Put,N/A
160.00,+15.45%,19.05,21.53,24.00,0.00,0.00,unch,0,0,0.00,56.68%,Put,N/A
"Downloaded from Barchart.com as of 02-16-2021 08:26am CST"
