Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLI|20210319|76.00C,XLI,76.00,+20.41%,17.05,19.53,22.00,17.00,3.80,+28.79%,1,105,0.01,76.07%,Call,7,03/19/21,03/01/21,27.40%,18.69%
XLI|20210319|77.00C,XLI,77.00,+19.36%,16.05,18.53,21.00,17.57,3.42,+24.17%,2,604,0.00,72.26%,Call,7,03/19/21,03/09/21,27.40%,18.69%
XLI|20210319|78.00C,XLI,78.00,+18.32%,15.00,17.48,19.95,15.30,3.00,+24.39%,2,159,0.01,178.69%,Call,7,03/19/21,03/01/21,27.40%,18.69%
XLI|20210319|79.00C,XLI,79.00,+17.27%,14.20,16.60,19.00,15.74,3.77,+31.50%,1,80,0.01,75.52%,Call,7,03/19/21,03/09/21,27.40%,18.69%
XLI|20210319|80.00C,XLI,80.00,+16.22%,13.00,14.80,16.60,14.90,0.00,unch,3,"1,225",0.00,122.26%,Call,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|81.00C,XLI,81.00,+15.17%,12.05,14.53,17.00,13.47,3.69,+37.73%,1,300,0.00,57.28%,Call,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|82.00C,XLI,82.00,+14.13%,11.50,13.75,16.00,11.00,-0.26,-2.31%,2,"1,027",0.00,74.18%,Call,7,03/19/21,03/03/21,27.40%,18.69%
XLI|20210319|83.00C,XLI,83.00,+13.08%,10.05,12.53,15.00,12.98,4.56,+54.16%,1,246,0.00,49.92%,Call,7,03/19/21,03/08/21,27.40%,18.69%
XLI|20210319|84.00C,XLI,84.00,+12.03%,9.00,10.78,12.55,11.55,-0.20,-1.70%,5,947,0.01,49.67%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|85.00C,XLI,85.00,+10.99%,8.05,10.53,13.00,10.50,0.33,+3.24%,20,424,0.05,37.67%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|85.50C,XLI,85.50,+10.46%,7.50,9.95,12.40,0.00,0.00,unch,0,0,0.00,123.86%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|86.00C,XLI,86.00,+9.94%,7.00,9.43,11.85,8.95,3.71,+70.80%,1,457,0.00,119.07%,Call,7,03/19/21,03/09/21,27.40%,18.69%
XLI|20210319|86.50C,XLI,86.50,+9.41%,6.60,9.05,11.50,0.00,0.00,unch,0,0,0.00,40.03%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|87.00C,XLI,87.00,+8.89%,6.05,8.53,11.00,7.82,-0.03,-0.38%,2,455,0.00,35.32%,Call,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|87.50C,XLI,87.50,+8.37%,5.50,7.95,10.40,8.50,1.08,+14.56%,70,1,70.00,58.40%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|88.00C,XLI,88.00,+7.84%,5.00,6.33,7.65,7.50,0.95,+14.50%,4,719,0.01,27.76%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|88.50C,XLI,88.50,+7.32%,4.60,7.05,9.50,6.80,6.80,unch,1,1,1.00,32.28%,Call,7,03/19/21,03/08/21,27.40%,18.69%
XLI|20210319|89.00C,XLI,89.00,+6.80%,4.00,5.80,7.60,6.93,0.34,+5.16%,5,"2,178",0.00,48.04%,Call,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|89.50C,XLI,89.50,+6.27%,3.60,6.02,8.45,4.40,-0.10,-2.22%,1,1,1.00,26.14%,Call,7,03/19/21,03/03/21,27.40%,18.69%
