Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLI|20210409|65.00C,XLI,65.00,+29.85%,26.30,28.40,30.50,0.00,0.00,unch,0,0,0.00,81.44%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|70.00C,XLI,70.00,+24.45%,21.55,23.53,25.50,0.00,0.00,unch,0,0,0.00,70.51%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|75.00C,XLI,75.00,+19.06%,16.25,18.38,20.50,0.00,0.00,unch,0,0,0.00,54.29%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|80.00C,XLI,80.00,+13.66%,10.95,13.23,15.50,0.00,0.00,unch,0,0,0.00,39.09%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|85.00C,XLI,85.00,+8.27%,6.95,8.98,11.00,0.00,0.00,unch,0,0,0.00,36.40%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|86.50C,XLI,86.50,+6.65%,5.55,7.53,9.50,0.00,0.00,unch,0,0,0.00,32.57%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|87.00C,XLI,87.00,+6.11%,4.00,6.48,8.95,0.00,0.00,unch,0,0,0.00,25.02%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|87.50C,XLI,87.50,+5.57%,5.00,7.00,9.00,0.00,0.00,unch,0,0,0.00,34.36%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|88.00C,XLI,88.00,+5.03%,4.65,6.58,8.50,0.00,0.00,unch,0,0,0.00,33.48%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|88.50C,XLI,88.50,+4.49%,3.00,5.25,7.50,0.00,0.00,unch,0,0,0.00,23.76%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|89.00C,XLI,89.00,+3.95%,4.10,6.05,8.00,0.00,0.00,unch,0,0,0.00,34.54%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|89.50C,XLI,89.50,+3.41%,3.50,5.50,7.50,0.00,0.00,unch,0,0,0.00,32.33%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|90.00C,XLI,90.00,+2.87%,3.25,5.13,7.00,0.00,0.00,unch,0,0,0.00,31.65%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|90.50C,XLI,90.50,+2.33%,2.79,4.65,6.50,0.00,0.00,unch,0,0,0.00,29.98%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|91.00C,XLI,91.00,+1.79%,2.44,4.47,6.50,0.00,0.00,unch,0,0,0.00,30.90%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|91.50C,XLI,91.50,+1.25%,2.39,4.20,6.00,0.00,0.00,unch,0,0,0.00,30.84%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|92.00C,XLI,92.00,+0.71%,1.96,3.73,5.50,0.00,0.00,unch,0,0,0.00,29.09%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|92.50C,XLI,92.50,+0.17%,1.72,3.61,5.50,0.00,0.00,unch,0,0,0.00,30.16%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|93.00C,XLI,93.00,-0.37%,1.49,3.25,5.00,0.00,0.00,unch,0,0,0.00,29.08%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|93.50C,XLI,93.50,-0.91%,1.10,3.05,5.00,0.00,0.00,unch,0,0,0.00,29.33%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|94.00C,XLI,94.00,-1.45%,1.10,3.05,5.00,0.00,0.00,unch,0,0,0.00,31.13%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|94.50C,XLI,94.50,-1.99%,1.18,3.09,5.00,0.00,0.00,unch,0,0,0.00,33.21%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|95.00C,XLI,95.00,-2.53%,0.78,2.89,5.00,0.00,0.00,unch,0,0,0.00,33.17%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|95.50C,XLI,95.50,-3.06%,0.65,2.83,5.00,0.00,0.00,unch,0,0,0.00,34.22%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|96.00C,XLI,96.00,-3.60%,0.18,2.59,5.00,1.28,1.28,unch,57,0,0.00,21.94%,Call,38,04/09/21,03/02/21,0.00%
XLI|20210409|96.50C,XLI,96.50,-4.14%,0.15,2.58,5.00,0.00,0.00,unch,0,0,0.00,35.10%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|97.00C,XLI,97.00,-4.68%,0.35,2.68,5.00,0.00,0.00,unch,0,0,0.00,37.45%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|97.50C,XLI,97.50,-5.22%,0.36,2.68,5.00,0.00,0.00,unch,0,0,0.00,38.92%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|98.00C,XLI,98.00,-5.76%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,38.78%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|98.50C,XLI,98.50,-6.30%,0.16,2.58,5.00,0.00,0.00,unch,0,0,0.00,40.77%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|99.00C,XLI,99.00,-6.84%,0.27,2.64,5.00,0.00,0.00,unch,0,0,0.00,42.61%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|99.50C,XLI,99.50,-7.38%,0.20,2.60,5.00,0.00,0.00,unch,0,0,0.00,43.59%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|100.00C,XLI,100.00,-7.92%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,44.17%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|100.50C,XLI,100.50,-8.46%,0.12,2.56,5.00,0.00,0.00,unch,0,0,0.00,45.75%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|105.00C,XLI,105.00,-13.32%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|110.00C,XLI,110.00,-18.71%,0.00,2.38,4.75,0.00,0.00,unch,0,0,0.00,0.00%,Call,38,04/09/21,N/A,0.00%
XLI|20210409|65.00P,XLI,65.00,-29.85%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|70.00P,XLI,70.00,-24.45%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|75.00P,XLI,75.00,-19.06%,0.00,1.65,3.30,0.00,0.00,unch,0,0,0.00,0.00%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|80.00P,XLI,80.00,-13.66%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|85.00P,XLI,85.00,-8.27%,0.43,2.72,5.00,0.00,0.00,unch,0,0,0.00,50.01%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|86.50P,XLI,86.50,-6.65%,0.33,2.67,5.00,0.00,0.00,unch,0,0,0.00,44.52%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|87.00P,XLI,87.00,-6.11%,0.16,2.58,5.00,0.00,0.00,unch,0,0,0.00,42.01%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|87.50P,XLI,87.50,-5.57%,0.79,2.90,5.00,0.00,0.00,unch,0,0,0.00,43.29%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|88.00P,XLI,88.00,-5.03%,0.53,2.77,5.00,0.00,0.00,unch,0,0,0.00,40.34%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|88.50P,XLI,88.50,-4.49%,0.61,2.81,5.00,0.00,0.00,unch,0,0,0.00,38.96%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|89.00P,XLI,89.00,-3.95%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,34.64%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|89.50P,XLI,89.50,-3.41%,0.82,2.91,5.00,0.00,0.00,unch,0,0,0.00,36.31%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|90.00P,XLI,90.00,-2.87%,1.22,3.11,5.00,0.00,-1.75,-100.00%,0,0,0.00,36.22%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|90.50P,XLI,90.50,-2.33%,0.96,2.98,5.00,0.00,0.00,unch,0,0,0.00,33.19%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|91.00P,XLI,91.00,-1.79%,1.53,3.27,5.00,0.00,0.00,unch,0,0,0.00,33.71%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|91.50P,XLI,91.50,-1.25%,1.71,3.36,5.00,0.00,0.00,unch,0,0,0.00,32.47%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|92.00P,XLI,92.00,-0.71%,1.47,3.49,5.50,0.00,0.00,unch,0,0,0.00,31.51%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|92.50P,XLI,92.50,-0.17%,1.98,3.74,5.50,0.00,0.00,unch,0,0,0.00,31.51%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|93.00P,XLI,93.00,+0.37%,2.26,4.13,6.00,0.00,0.00,unch,0,0,0.00,32.56%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|93.50P,XLI,93.50,+0.91%,1.94,3.97,6.00,0.00,0.00,unch,0,0,0.00,28.90%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|94.00P,XLI,94.00,+1.45%,2.14,4.07,6.00,0.00,0.00,unch,0,0,0.00,27.32%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|94.50P,XLI,94.50,+1.99%,2.37,4.44,6.50,0.00,0.00,unch,0,0,0.00,27.87%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|95.00P,XLI,95.00,+2.53%,1.95,4.23,6.50,0.00,0.00,unch,0,0,0.00,23.32%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|95.50P,XLI,95.50,+3.06%,3.05,5.03,7.00,0.00,0.00,unch,0,0,0.00,27.49%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|96.00P,XLI,96.00,+3.60%,3.35,5.43,7.50,0.00,0.00,unch,0,0,0.00,28.09%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|96.50P,XLI,96.50,+4.14%,3.30,5.40,7.50,0.00,0.00,unch,0,0,0.00,24.67%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|97.00P,XLI,97.00,+4.68%,3.40,5.70,8.00,0.00,0.00,unch,0,0,0.00,24.05%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|97.50P,XLI,97.50,+5.22%,4.10,6.30,8.50,0.00,0.00,unch,0,0,0.00,26.31%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|98.00P,XLI,98.00,+5.76%,4.75,6.88,9.00,0.00,0.00,unch,0,0,0.00,28.31%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|98.50P,XLI,98.50,+6.30%,4.50,6.75,9.00,0.00,0.00,unch,0,0,0.00,22.81%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|99.00P,XLI,99.00,+6.84%,4.90,7.20,9.50,0.00,0.00,unch,0,0,0.00,23.29%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|99.50P,XLI,99.50,+7.38%,5.00,7.50,10.00,0.00,0.00,unch,0,0,0.00,21.73%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|100.00P,XLI,100.00,+7.92%,6.50,8.50,10.50,0.00,0.00,unch,0,0,0.00,28.97%,Put,38,04/09/21,N/A,0.00%
XLI|20210409|100.50P,XLI,100.50,+8.46%,6.45,8.73,11.00,0.00,0.00,unch,0,0,0.00,26.71%,Put,38,04/09/21,N/A,0.00%
