Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLI|20210312|92.50P,XLI,92.50,+1.34%,0.20,2.60,5.00,1.03,-1.57,-60.38%,2,2,1.00,35.23%,Put,8,03/12/21,03/03/21,31.39%
XLI|20210312|93.50P,XLI,93.50,+2.43%,0.70,3.10,5.50,2.40,2.40,unch,2,2,1.00,32.11%,Put,8,03/12/21,02/25/21,31.39%
XLI|20210312|94.00P,XLI,94.00,+2.98%,0.77,3.14,5.50,0.00,0.00,unch,0,0,0.00,24.40%,Put,8,03/12/21,N/A,31.39%
XLI|20210312|95.00P,XLI,95.00,+4.08%,1.60,4.03,6.45,0.00,0.00,unch,0,0,0.00,26.11%,Put,8,03/12/21,N/A,31.39%
XLI|20210312|96.00P,XLI,96.00,+5.17%,2.60,5.05,7.50,0.00,0.00,unch,0,0,0.00,31.34%,Put,8,03/12/21,N/A,31.39%
XLI|20210312|96.50P,XLI,96.50,+5.72%,3.00,5.45,7.90,0.00,0.00,unch,0,0,0.00,29.81%,Put,8,03/12/21,N/A,31.39%
XLI|20210312|97.00P,XLI,97.00,+6.27%,3.40,5.70,8.00,0.00,0.00,unch,0,0,0.00,82.13%,Put,8,03/12/21,N/A,31.39%
XLI|20210312|98.00P,XLI,98.00,+7.36%,4.35,6.68,9.00,0.00,0.00,unch,0,0,0.00,87.87%,Put,8,03/12/21,N/A,31.39%
XLI|20210312|98.50P,XLI,98.50,+7.91%,4.85,7.18,9.50,0.00,0.00,unch,0,0,0.00,90.66%,Put,8,03/12/21,N/A,31.39%
XLI|20210312|99.00P,XLI,99.00,+8.46%,5.25,7.63,10.00,0.00,0.00,unch,0,0,0.00,93.40%,Put,8,03/12/21,N/A,31.39%
"Downloaded from Barchart.com as of 03-05-2021 08:30am CST"
