Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLI|20210416|50.00C,XLI,50.00,+47.60%,43.00,45.48,47.95,0.00,0.00,unch,0,0,0.00,95.42%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|55.00C,XLI,55.00,+42.36%,38.00,40.38,42.75,0.00,0.00,unch,0,0,0.00,159.13%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|60.00C,XLI,60.00,+37.12%,33.05,35.50,37.95,0.00,0.00,unch,0,0,0.00,73.52%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|65.00C,XLI,65.00,+31.88%,28.15,30.55,32.95,0.00,0.00,unch,0,0,0.00,65.83%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|70.00C,XLI,70.00,+26.64%,23.05,25.50,27.95,0.00,0.00,unch,0,4,0.00,51.84%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|71.00C,XLI,71.00,+25.59%,22.05,24.50,26.95,0.00,0.00,unch,0,0,0.00,49.81%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|72.00C,XLI,72.00,+24.54%,21.00,23.45,25.90,0.00,0.00,unch,0,0,0.00,43.86%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|73.00C,XLI,73.00,+23.50%,20.20,22.60,25.00,0.00,0.00,unch,0,0,0.00,50.78%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|74.00C,XLI,74.00,+22.45%,19.00,21.48,23.95,0.00,0.00,unch,0,0,0.00,42.22%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|75.00C,XLI,75.00,+21.40%,18.10,20.55,23.00,0.00,0.00,unch,0,0,0.00,44.42%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|76.00C,XLI,76.00,+20.35%,17.00,19.38,21.75,0.00,0.00,unch,0,0,0.00,84.22%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|77.00C,XLI,77.00,+19.30%,16.00,18.40,20.80,0.00,0.00,unch,0,0,0.00,81.70%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|78.00C,XLI,78.00,+18.26%,15.20,17.60,20.00,15.00,15.00,unch,10,10,1.00,40.25%,Call,36,04/16/21,02/25/21,23.09%,18.74%
XLI|20210416|79.00C,XLI,79.00,+17.21%,14.00,16.38,18.75,0.00,0.00,unch,0,0,0.00,74.70%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|80.00C,XLI,80.00,+16.16%,13.00,15.40,17.80,13.90,0.70,+5.30%,10,40,0.25,72.18%,Call,36,04/16/21,03/05/21,23.09%,18.74%
XLI|20210416|81.00C,XLI,81.00,+15.11%,12.30,14.65,17.00,14.35,1.90,+15.26%,2,3,0.67,35.54%,Call,36,04/16/21,03/09/21,23.09%,18.74%
XLI|20210416|82.00C,XLI,82.00,+14.06%,11.00,13.38,15.75,10.96,0.81,+7.98%,1,31,0.03,65.29%,Call,36,04/16/21,03/05/21,23.09%,18.74%
XLI|20210416|83.00C,XLI,83.00,+13.02%,10.05,12.53,15.00,11.05,2.05,+22.78%,100,104,0.96,27.63%,Call,36,04/16/21,03/01/21,23.09%,18.74%
XLI|20210416|84.00C,XLI,84.00,+11.97%,9.35,11.68,14.00,11.70,2.53,+27.59%,2,2,1.00,30.40%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|85.00C,XLI,85.00,+10.92%,8.15,10.53,12.90,10.05,-1.03,-9.30%,6,47,0.13,23.80%,Call,36,04/16/21,03/09/21,23.09%,18.74%
XLI|20210416|86.00C,XLI,86.00,+9.87%,7.30,9.65,12.00,7.85,-0.40,-4.85%,1,1,1.00,25.04%,Call,36,04/16/21,03/01/21,23.09%,18.74%
XLI|20210416|87.00C,XLI,87.00,+8.82%,6.50,8.90,11.30,8.04,0.72,+9.84%,11,32,0.34,27.35%,Call,36,04/16/21,03/08/21,23.09%,18.74%
XLI|20210416|88.00C,XLI,88.00,+7.78%,5.50,7.93,10.35,7.65,0.09,+1.19%,8,216,0.04,25.35%,Call,36,04/16/21,03/09/21,23.09%,18.74%
XLI|20210416|89.00C,XLI,89.00,+6.73%,4.50,6.75,9.00,7.25,0.25,+3.57%,1,97,0.01,27.11%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|90.00C,XLI,90.00,+5.68%,4.00,6.13,8.25,6.31,0.27,+4.47%,33,326,0.10,25.10%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|91.00C,XLI,91.00,+4.63%,3.00,5.43,7.85,5.40,0.70,+14.89%,16,"2,746",0.01,23.27%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|92.00C,XLI,92.00,+3.58%,3.85,5.68,7.50,4.80,0.75,+18.52%,55,345,0.16,24.24%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|93.00C,XLI,93.00,+2.54%,3.45,4.98,6.50,4.20,0.75,+21.74%,6,612,0.01,24.60%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|94.00C,XLI,94.00,+1.49%,2.75,3.38,4.00,3.45,0.18,+5.50%,32,"1,751",0.02,23.17%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|95.00C,XLI,95.00,+0.44%,2.60,2.98,3.35,2.93,0.20,+7.33%,200,"1,465",0.14,23.28%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|96.00C,XLI,96.00,-0.61%,2.35,2.70,3.05,2.35,0.41,+21.13%,114,322,0.35,22.40%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|97.00C,XLI,97.00,-1.66%,1.50,1.85,2.20,1.97,0.17,+9.44%,54,"5,513",0.01,22.71%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|98.00C,XLI,98.00,-2.70%,1.11,3.06,5.00,1.54,0.24,+18.46%,61,489,0.12,22.10%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|99.00C,XLI,99.00,-3.75%,0.02,2.26,4.50,1.27,0.30,+30.93%,43,86,0.50,22.44%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|100.00C,XLI,100.00,-4.80%,0.60,0.95,1.30,0.94,0.19,+25.33%,200,"4,389",0.05,21.70%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|101.00C,XLI,101.00,-5.85%,0.50,0.63,0.76,0.76,0.11,+16.92%,7,12,0.58,22.03%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|102.00C,XLI,102.00,-6.90%,0.03,1.52,3.00,0.30,-0.08,-21.05%,1,16,0.06,32.43%,Call,36,04/16/21,03/05/21,23.09%,18.74%
XLI|20210416|103.00C,XLI,103.00,-7.94%,0.10,1.37,2.64,0.44,0.06,+15.79%,1,21,0.05,33.25%,Call,36,04/16/21,03/02/21,23.09%,18.74%
XLI|20210416|104.00C,XLI,104.00,-8.99%,0.02,1.15,2.27,0.28,0.28,unch,17,0,0.00,20.94%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|105.00C,XLI,105.00,-10.04%,0.01,0.16,0.30,0.25,0.00,unch,28,"5,745",0.00,21.97%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|106.00C,XLI,106.00,-11.09%,0.02,1.09,2.15,0.23,0.05,+27.78%,4,2,2.00,23.10%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|107.00C,XLI,107.00,-12.14%,0.08,1.08,2.08,0.00,0.00,unch,0,0,0.00,38.25%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|108.00C,XLI,108.00,-13.18%,0.06,1.04,2.02,0.00,0.00,unch,0,0,0.00,39.63%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|109.00C,XLI,109.00,-14.23%,0.01,1.01,2.01,0.00,0.00,unch,0,0,0.00,41.07%,Call,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|110.00C,XLI,110.00,-15.28%,0.01,1.04,2.07,0.06,-0.11,-64.71%,13,101,0.13,22.71%,Call,36,04/16/21,03/10/21,23.09%,18.74%
XLI|20210416|50.00P,XLI,50.00,-47.60%,0.00,1.02,2.03,0.00,0.00,unch,0,0,0.00,0.00%,Put,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|55.00P,XLI,55.00,-42.36%,0.00,1.02,2.03,0.00,0.00,unch,0,0,0.00,0.00%,Put,36,04/16/21,N/A,23.09%,18.74%
XLI|20210416|60.00P,XLI,60.00,-37.12%,0.01,1.02,2.03,0.01,-0.04,-80.00%,5,5,1.00,0.00%,Put,36,04/16/21,02/25/21,23.09%,18.74%
XLI|20210416|65.00P,XLI,65.00,-31.88%,0.02,1.03,2.03,0.06,0.06,unch,1,1,1.00,0.00%,Put,36,04/16/21,02/25/21,23.09%,18.74%
