Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
58.00,-7.38%,0.01,0.03,0.05,0.02,0.00,unch,18,"2,356",0.01,29.82%,Put,02/12/21
58.50,-6.58%,0.02,1.33,2.64,0.05,-0.05,-50.00%,1,895,0.00,94.78%,Put,02/05/21
59.00,-5.78%,0.02,0.06,0.09,0.02,-0.02,-50.00%,33,"1,758",0.02,24.06%,Put,02/12/21
59.50,-4.98%,0.01,0.03,0.04,0.06,0.01,+20.00%,4,256,0.02,22.01%,Put,02/09/21
60.00,-4.18%,0.03,0.15,0.26,0.05,-0.03,-37.50%,22,"16,061",0.00,21.91%,Put,02/12/21
60.50,-3.39%,0.02,1.36,2.70,0.06,-0.05,-45.45%,8,"2,963",0.00,19.35%,Put,02/12/21
61.00,-2.59%,0.06,0.22,0.37,0.13,0.03,+30.00%,102,"4,239",0.02,19.93%,Put,02/12/21
61.50,-1.79%,0.06,0.14,0.22,0.22,0.10,+83.33%,248,"1,121",0.22,19.47%,Put,02/12/21
62.00,-0.99%,0.25,0.29,0.32,0.30,0.08,+36.36%,117,"1,652",0.07,17.09%,Put,02/12/21
62.50,-0.19%,0.25,0.53,0.80,0.48,0.18,+60.00%,"1,912","1,159",1.65,16.36%,Put,02/12/21
63.00,+0.61%,0.48,0.69,0.90,0.78,0.29,+59.18%,398,"2,764",0.14,17.14%,Put,02/12/21
63.50,+1.41%,0.23,1.89,3.55,1.24,0.48,+63.16%,20,"2,200",0.01,21.44%,Put,02/12/21
64.00,+2.20%,0.72,1.67,2.63,1.51,0.36,+31.30%,35,"1,362",0.03,16.42%,Put,02/12/21
64.50,+3.00%,1.37,2.21,3.05,1.58,0.30,+23.44%,1,12,0.08,29.83%,Put,02/09/21
65.00,+3.80%,0.51,2.71,4.90,2.41,0.76,+46.06%,1,44,0.02,109.38%,Put,02/12/21
65.50,+4.60%,0.50,1.85,3.20,2.75,-0.25,-8.33%,1,3,0.33,37.74%,Put,01/28/21
66.00,+5.40%,2.27,3.46,4.65,2.94,-0.22,-6.96%,3,41,0.07,25.82%,Put,02/04/21
66.50,+6.20%,1.78,4.04,6.30,0.00,0.00,unch,0,0,0.00,35.81%,Put,N/A
67.00,+6.99%,3.80,4.15,4.50,4.60,0.38,+9.00%,7,6,1.17,35.69%,Put,01/29/21
67.50,+7.79%,3.35,4.25,5.15,0.00,0.00,unch,0,0,0.00,49.69%,Put,N/A
68.00,+8.59%,4.25,5.25,6.25,4.97,-0.39,-7.28%,14,13,1.08,81.95%,Put,02/02/21
68.50,+9.39%,3.60,5.80,8.00,0.00,0.00,unch,0,0,0.00,132.44%,Put,N/A
69.00,+10.19%,4.00,6.35,8.70,6.25,6.25,unch,1,1,1.00,143.94%,Put,01/27/21
70.00,+11.79%,6.75,7.70,8.65,8.79,8.79,unch,1,1,1.00,69.15%,Put,12/23/20
71.00,+13.38%,7.75,8.68,9.60,0.00,0.00,unch,0,0,0.00,73.55%,Put,N/A
72.00,+14.98%,8.30,9.18,10.05,0.00,0.00,unch,0,0,0.00,102.13%,Put,N/A
73.00,+16.58%,9.75,10.68,11.60,0.00,0.00,unch,0,0,0.00,85.10%,Put,N/A
74.00,+18.17%,10.30,11.28,12.25,0.00,0.00,unch,0,0,0.00,125.37%,Put,N/A
75.00,+19.77%,11.20,12.15,13.10,0.00,0.00,unch,0,0,0.00,123.86%,Put,N/A
76.00,+21.37%,12.65,13.35,14.05,0.00,0.00,unch,0,0,0.00,127.03%,Put,N/A
77.00,+22.96%,13.65,14.63,15.60,0.00,0.00,unch,0,0,0.00,101.57%,Put,N/A
"Downloaded from Barchart.com as of 02-16-2021 08:25am CST"
