Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
40.00,+44.87%,29.50,31.58,33.65,0.00,0.00,unch,0,0,0.00,257.54%,Call,N/A
45.00,+37.97%,24.50,26.60,28.70,0.00,0.00,unch,0,0,0.00,218.14%,Call,N/A
50.00,+31.08%,20.00,21.88,23.75,0.00,0.00,unch,0,0,0.00,181.99%,Call,N/A
55.00,+24.19%,15.00,17.15,19.30,0.00,0.00,unch,0,0,0.00,166.44%,Call,N/A
60.00,+17.30%,10.00,12.15,14.30,0.00,0.00,unch,0,0,0.00,129.62%,Call,N/A
64.00,+11.78%,5.50,7.85,10.20,0.00,0.00,unch,0,0,0.00,98.18%,Call,N/A
65.00,+10.41%,5.00,6.85,8.70,12.69,1.31,+11.51%,1,1,1.00,77.62%,Call,01/12/21
65.50,+9.72%,4.50,6.38,8.25,0.00,0.00,unch,0,0,0.00,75.68%,Call,N/A
66.00,+9.03%,4.00,6.00,8.00,0.00,0.00,unch,0,0,0.00,78.86%,Call,N/A
66.50,+8.34%,3.50,5.40,7.30,0.00,0.00,unch,0,0,0.00,70.26%,Call,N/A
67.00,+7.65%,3.20,5.28,7.35,4.65,-0.10,-2.11%,1,30,0.03,80.24%,Call,02/01/21
67.50,+6.96%,2.67,4.26,5.85,0.00,0.00,unch,0,0,0.00,51.75%,Call,N/A
68.00,+6.27%,2.00,4.03,6.05,0.00,0.00,unch,0,0,0.00,65.84%,Call,N/A
68.50,+5.58%,1.93,3.79,5.65,0.00,0.00,unch,0,0,0.00,64.46%,Call,N/A
69.00,+4.89%,1.46,3.68,5.90,0.00,0.00,unch,0,0,0.00,21.82%,Call,N/A
69.50,+4.20%,0.72,3.09,5.45,0.00,0.00,unch,0,0,0.00,14.12%,Call,N/A
70.00,+3.51%,0.92,2.34,3.75,2.96,0.53,+21.81%,10,44,0.23,44.38%,Call,02/02/21
70.50,+2.83%,0.07,1.59,3.10,2.48,0.34,+15.89%,2,1,2.00,37.39%,Call,02/02/21
71.00,+2.14%,0.12,1.42,2.71,1.75,-0.30,-14.63%,1,6,0.17,35.88%,Call,02/01/21
71.50,+1.45%,0.15,1.25,2.35,1.78,0.16,+9.88%,51,50,1.02,11.25%,Call,02/02/21
72.00,+0.76%,0.02,1.22,2.41,1.66,0.06,+3.75%,2,6,0.33,17.74%,Call,02/02/21
72.50,+0.07%,1.00,1.34,1.68,1.28,-1.27,-49.80%,11,10,1.10,25.48%,Call,02/02/21
