Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLI|20210326|65.00C,XLI,65.00,+27.75%,22.50,24.90,27.30,0.00,0.00,unch,0,0,0.00,109.85%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|70.00C,XLI,70.00,+22.19%,17.50,19.85,22.20,0.00,0.00,unch,0,0,0.00,90.57%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|75.00C,XLI,75.00,+16.63%,12.50,14.83,17.15,0.00,0.00,unch,0,0,0.00,72.93%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|80.50C,XLI,80.50,+10.52%,7.30,9.63,11.95,0.00,0.00,unch,0,0,0.00,25.11%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|81.00C,XLI,81.00,+9.96%,6.85,9.18,11.50,0.00,0.00,unch,0,0,0.00,25.25%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|81.50C,XLI,81.50,+9.40%,6.50,8.85,11.20,0.00,0.00,unch,0,0,0.00,27.62%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|82.00C,XLI,82.00,+8.85%,6.00,8.23,10.45,0.00,0.00,unch,0,0,0.00,24.05%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|82.50C,XLI,82.50,+8.29%,5.50,7.83,10.15,0.00,0.00,unch,0,0,0.00,24.74%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|83.00C,XLI,83.00,+7.74%,5.05,7.38,9.70,0.00,0.00,unch,0,0,0.00,24.34%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|83.50C,XLI,83.50,+7.18%,4.60,6.88,9.15,0.00,0.00,unch,0,0,0.00,23.09%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|84.00C,XLI,84.00,+6.63%,4.30,6.65,9.00,0.00,0.00,unch,0,0,0.00,25.69%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|84.50C,XLI,84.50,+6.07%,4.10,5.68,7.25,0.00,0.00,unch,0,0,0.00,17.30%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|85.00C,XLI,85.00,+5.51%,5.05,5.73,6.40,5.90,0.20,+3.51%,2,10,0.20,23.82%,Call,36,03/26/21,02/10/21,0.00%
XLI|20210326|85.50C,XLI,85.50,+4.96%,3.40,5.38,7.35,0.00,0.00,unch,0,0,0.00,24.10%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|86.00C,XLI,86.00,+4.40%,2.91,5.08,7.25,0.00,0.00,unch,0,0,0.00,24.81%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|86.50C,XLI,86.50,+3.85%,3.65,4.65,5.65,4.90,0.20,+4.26%,1,1,1.00,23.92%,Call,36,03/26/21,02/16/21,0.00%
XLI|20210326|87.00C,XLI,87.00,+3.29%,1.50,3.80,6.10,0.00,0.00,unch,0,0,0.00,18.66%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|87.50C,XLI,87.50,+2.73%,2.91,3.66,4.40,0.00,0.00,unch,0,0,0.00,20.61%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|88.00C,XLI,88.00,+2.18%,1.00,3.33,5.65,3.95,3.95,unch,1,1,1.00,20.48%,Call,36,03/26/21,02/09/21,0.00%
XLI|20210326|88.50C,XLI,88.50,+1.62%,2.25,3.23,4.20,0.00,0.00,unch,0,0,0.00,22.32%,Call,36,03/26/21,N/A,0.00%
XLI|20210326|89.00C,XLI,89.00,+1.07%,1.13,2.49,3.85,3.10,3.10,unch,1,1,1.00,18.19%,Call,36,03/26/21,02/05/21,0.00%
XLI|20210326|89.50C,XLI,89.50,+0.51%,1.28,2.97,4.65,0.00,0.00,unch,0,0,0.00,24.83%,Call,36,03/26/21,N/A,0.00%
