Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
210.00,-27.31%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
215.00,-30.34%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
220.00,-33.37%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
85.00,-48.47%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,318.67%,Put,N/A
90.00,-45.44%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,295.70%,Put,N/A
95.00,-42.41%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,273.93%,Put,N/A
100.00,-39.38%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,253.21%,Put,N/A
105.00,-36.34%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,233.40%,Put,N/A
110.00,-33.31%,0.01,0.05,0.08,0.00,0.00,unch,0,0,0.00,103.50%,Put,N/A
115.00,-30.28%,0.01,2.51,5.00,0.08,0.03,+60.00%,1,1,1.00,99.99%,Put,02/23/21
120.00,-27.25%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,178.49%,Put,N/A
125.00,-24.22%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,161.18%,Put,N/A
130.00,-21.19%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,144.39%,Put,N/A
135.00,-18.16%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,127.91%,Put,N/A
140.00,-15.13%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,111.65%,Put,N/A
145.00,-12.09%,0.04,2.52,5.00,0.25,-1.25,-83.33%,16,2,8.00,49.73%,Put,02/23/21
146.00,-11.49%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,92.51%,Put,N/A
147.00,-10.88%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,89.04%,Put,N/A
147.50,-10.58%,0.06,2.53,5.00,0.00,0.00,unch,0,0,0.00,87.70%,Put,N/A
148.00,-10.28%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,85.71%,Put,N/A
148.50,-9.97%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,84.08%,Put,N/A
149.00,-9.67%,0.10,2.55,5.00,1.40,1.40,unch,3,3,1.00,83.07%,Put,02/01/21
149.50,-9.37%,0.01,2.51,5.00,1.06,-2.10,-66.46%,1,1,1.00,80.80%,Put,02/02/21
150.00,-9.06%,0.08,2.54,5.00,0.31,0.15,+93.75%,13,33,0.39,40.83%,Put,02/23/21
152.50,-7.55%,0.04,2.52,5.00,0.27,0.12,+80.00%,3,4,0.75,34.07%,Put,02/23/21
155.00,-6.03%,0.01,0.51,1.00,0.42,0.22,+110.00%,24,25,0.96,32.01%,Put,02/23/21
157.50,-4.52%,0.01,2.51,5.00,0.29,-0.28,-49.12%,3,26,0.12,53.77%,Put,02/22/21
160.00,-3.00%,0.18,2.59,5.00,1.27,0.75,+144.23%,18,626,0.03,30.81%,Put,02/23/21
161.00,-2.39%,0.05,2.53,5.00,1.08,0.43,+66.15%,69,37,1.86,25.28%,Put,02/23/21
162.50,-1.49%,1.37,3.19,5.00,2.17,1.69,+352.08%,99,78,1.27,31.57%,Put,02/23/21
163.00,-1.18%,0.55,2.78,5.00,2.16,1.18,+120.41%,23,12,1.92,29.44%,Put,02/23/21
164.00,-0.58%,0.15,2.58,5.00,3.35,2.33,+228.43%,20,59,0.34,36.82%,Put,02/23/21
